    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19970930       84206    2450722     1997.746199   9.3346e+015   1.5196e+015      0
    19970930      104430    2450722     1997.746432   1.2453e+016   2.0272e+015      0
    19970930      155227    2450722     1997.747018   1.9487e+016   3.1723e+015      0
    19971001       80118    2450723     1997.748861   6.9677e+015   1.1343e+015      0
    19971001      101700    2450723     1997.749119   1.0004e+016   1.6285e+015      0
    19971010       85738    2450732     1997.773626   9.6411e+015   1.5695e+015      0
    19971010      114126    2450732     1997.773937   8.6235e+015   1.4038e+015      0
    19971010      135802    2450732     1997.774197   1.6078e+016   2.6173e+015      0
    19971010      161637    2450732     1997.774461   2.4470e+016   3.9834e+015      0
    19971012      104102    2450734     1997.779302   6.7835e+015   1.1043e+015      0
    19971012      154124    2450734     1997.779873   6.7518e+015   1.0991e+015      0
    19971016      102804    2450738     1997.790236   8.1861e+015   1.3326e+015      0
    19971018       64105    2450740     1997.795284   4.6466e+015   7.5641e+014      0
    19971022      135308    2450744     1997.807065   7.3154e+015   1.1909e+015      0
    19971023       71614    2450745     1997.809049   5.8013e+015   9.4438e+014      0
    19971023       94631    2450745     1997.809335   1.1274e+016   1.8352e+015      0
    19971025      120751    2450747     1997.815083   3.9133e+016   6.3704e+015      0
    19971026       63556    2450748     1997.817192   1.8257e+016   2.9720e+015      0
    19971026       92039    2450748     1997.817505   2.1134e+016   3.4403e+015      0
    19971026      124449    2450748     1997.817893   4.6512e+016   7.5716e+015      0
    19971027      112818    2450749     1997.820488   5.6557e+016   9.2068e+015      0
    19971106      143812    2450759     1997.848246   1.5870e+016   2.5835e+015      0
    19971116       54828    2450769     1997.874636   6.2534e+015   1.0180e+015      0
    19971116       92643    2450769     1997.875051   8.7571e+015   1.4256e+015      0
    19971116      155621    2450769     1997.875792   1.2140e+016   1.9763e+015      0
    19971117       54835    2450770     1997.877376   4.0677e+015   6.6218e+014      0
    19971117       92701    2450770     1997.877791   8.4610e+015   1.3774e+015      0
    19971118      130824    2450771     1997.880952   1.4705e+016   2.3938e+015      0
